StemUrn,LexicalEntity,Stem,Gender,InflClass,Accent,Tags
hmtnestem.1_0,lexent.hmtpersent1,a)xill,masc,eus_ews,inflacc,
hmtnestem.1_1,lexent.hmtpersent1,a)xil,masc,eus_ews,inflacc,
hmtnestem.2_0,lexent.hmtpersent2,g,fem,h_hs,inflacc,
hmtnestem.3_0,lexent.hmtpersent3,h(b,fem,h_hs,stemultacc,
hmtnestem.4_0,lexent.hmtpersent4,h(r,fem,h_hs,stemultacc,
hmtnestem.5_0,lexent.hmtpersent5,r(hn,fem,h_hs,stemultacc,
hmtnestem.6_0,lexent.hmtpersent6,ai)qr,fem,h_hs,stemultacc,
hmtnestem.7_0,lexent.hmtpersent7,bwr,masc,os_ou,stemultacc,
hmtnestem.8_0,lexent.hmtpersent8,diwn,fem,h_hs,stemultacc,
hmtnestem.9_0,lexent.hmtpersent9,lamp,masc,os_ou,stemultacc,
hmtnestem.10_0,lexent.hmtpersent10,eu)r,masc,os_ou,stemultacc,
hmtnestem.11_0,lexent.hmtpersent11,meg,masc,hs_ou,stemultacc,
hmtnestem.12_0,lexent.hmtpersent12,not,masc,os_ou,stemultacc
hmtnestem.13_0,lexent.hmtpersent13,xanq,masc,os_ou,stemultacc,
hmtnestem.14_0,lexent.hmtpersent14,med,masc,wn_onos,stemultacc,
hmtnestem.15_0,lexent.hmtpersent15,phl,masc,eus_ews,inflacc,
hmtnestem.16_0,lexent.hmtpersent16,phleid,masc,hs_ou,stemultacc,
hmtnestem.16_1,lexent.hmtpersent16,phlhi+ad,masc,hs_ou,stemultacc,
hmtnestem.17_0,lexent.hmtpersent17,phlei,masc,wn_onos,stemultacc,
hmtnestem.18_0,lexent.hmtpersent18,tud,masc,eus_ews,inflacc,
hmtnestem.19_0,lexent.hmtpersent19,tudeid,masc,hs_ou,stemultacc,
